"date","worklist_num","type","level","expected_concentration","result_concentration","result_area","internal_standard_area"
"2018-11-07",1,"CAL",CAL1,20,19.2676005587897,10.6062117831481,66.0562486799716
"2018-11-07",2,"CAL",CAL2,50,49.4881881905318,29.0369848462476,70.4094918192288
"2018-11-07",3,"CAL",CAL3,120,125.865709489406,73.5837410489454,70.1545239103958
"2018-11-07",4,"CAL",CAL4,240,251.992074090178,131.848583509523,62.7870145450717
"2018-11-07",5,"CAL",CAL5,500,478.665320907983,257.258251341688,64.4938933583975
"2018-11-07",6,"CAL",CAL6,1000,918.238883063556,539.018885393916,70.4416546067707
"2018-11-07",7,"CAL",CAL7,2000,1836.79963484588,1098.19600211353,71.746268756571
"2018-11-07",8,"CAL",CAL8,8000,7695.25897548061,4404.69199352263,68.6868422371326
"2018-11-07",9,"Sample",NA,NA,42.0500657293464,22.7807336790251,65.010315538584
"2018-11-07",10,"Sample",NA,NA,58.4860117477624,33.5012588051431,68.7369669512639
"2018-11-07",11,"Sample",NA,NA,81.7669560191264,44.1602355677426,64.8089219181591
"2018-11-07",12,"Sample",NA,NA,87.8718644387368,51.6224658940973,70.4969212484451
"2018-11-07",13,"Sample",NA,NA,82.5941279858799,50.232417248926,72.9820656366956
"2018-11-07",14,"Sample",NA,NA,120.753909505278,68.6868243298176,68.2579881127399
"2018-11-07",15,"Sample",NA,NA,88.4530723123122,48.4043210277002,65.6677984323164
"2018-11-07",16,"Sample",NA,NA,1235.82411921453,638.257287565165,61.9755459672527
"2018-11-07",17,"Sample",NA,NA,767.525711566926,446.209588549889,69.7633314676491
"2018-11-07",18,"Sample",NA,NA,1297.85867075479,743.941715271334,68.7848437154115
"2018-11-07",19,"Sample",NA,NA,1198.18637284768,635.112334092002,63.6073667821034
"2018-11-07",20,"Sample",NA,NA,1184.07679000115,687.05137209402,69.6290691173859
"2018-11-14",1,"CAL",CAL1,20,19.7260498535073,13.8785118535094,84.4275176626411
"2018-11-14",2,"CAL",CAL2,50,45.1006889248335,36.1546876327927,96.1972559480394
"2018-11-14",3,"CAL",CAL3,120,114.348671705956,81.9949194370052,86.0472639135004
"2018-11-14",4,"CAL",CAL4,240,251.559118564182,176.978101196549,84.4229867905481
"2018-11-14",5,"CAL",CAL5,500,513.018943818346,368.646706132502,86.2299633745382
"2018-11-14",6,"CAL",CAL6,1000,907.729619133738,612.601989231056,80.9847306490679
"2018-11-14",7,"CAL",CAL7,2000,1865.78010967818,1355.52437059256,87.1822588456924
"2018-11-14",8,"CAL",CAL8,8000,7936.0002867899,5633.37994728313,85.1821533826353
"2018-11-14",9,"Sample",NA,NA,55.4698396756217,38.6800986316855,83.6781188290001
"2018-11-14",10,"Sample",NA,NA,64.7031360826449,47.8239925914678,88.6955325263662
"2018-11-14",11,"Sample",NA,NA,54.628510786599,36.7345543334475,80.6931482579434
"2018-11-14",12,"Sample",NA,NA,82.9931399071727,52.6935310715773,76.1897156278431
"2018-11-14",13,"Sample",NA,NA,40.9972059803936,27.4004698210457,80.2019625458857
"2018-11-14",14,"Sample",NA,NA,116.907882697172,91.8071339264917,94.2353570778121
"2018-11-14",15,"Sample",NA,NA,79.591473999662,58.8302645059411,88.6983414924934
"2018-11-14",16,"Sample",NA,NA,935.216202803909,709.585040485209,91.0486843608278
"2018-11-14",17,"Sample",NA,NA,1155.68342432421,810.59495716947,84.1678549791573
"2018-11-14",18,"Sample",NA,NA,1106.76213866258,787.326996076761,85.3654423373936
"2018-11-14",19,"Sample",NA,NA,885.22075859059,637.566315183042,86.4281108181169
"2018-11-14",20,"Sample",NA,NA,1107.15097858519,776.49992162631,84.1619547807564
"2018-11-21",1,"CAL",CAL1,20,21.0254965318619,19.4863911284071,111.215777085945
"2018-11-21",2,"CAL",CAL2,50,45.8941508124358,45.6865576452351,119.457203595162
"2018-11-21",3,"CAL",CAL3,120,116.626362184594,112.594722887166,115.851737920748
"2018-11-21",4,"CAL",CAL4,240,232.476526260979,195.559049645832,100.943894572631
"2018-11-21",5,"CAL",CAL5,500,505.122990984079,464.338986992227,110.31111122167
"2018-11-21",6,"CAL",CAL6,1000,944.527709133438,863.258577002838,109.674949965608
"2018-11-21",7,"CAL",CAL7,2000,2000.83441570734,1910.64259584286,114.590747590719
"2018-11-21",8,"CAL",CAL8,8000,8357.5283231907,7231.67261140032,103.834612317142
"2018-11-21",9,"Sample",NA,NA,46.8344642332118,42.9069612624786,109.936890189644
"2018-11-21",10,"Sample",NA,NA,62.9273854521452,56.8798305604054,108.467555392705
"2018-11-21",11,"Sample",NA,NA,63.6839483419893,59.8423697107391,112.76129310836
"2018-11-21",12,"Sample",NA,NA,101.912056857065,89.8873972253092,105.841134009938
"2018-11-21",13,"Sample",NA,NA,84.5454543311286,80.1897594895666,113.817723435014
"2018-11-21",14,"Sample",NA,NA,62.2580350230091,57.5901857179537,111.002897595473
"2018-11-21",15,"Sample",NA,NA,72.4269553344162,71.4995667648937,118.463463943378
"2018-11-21",16,"Sample",NA,NA,1301.915368144,1055.20978016077,97.2606797013297
"2018-11-21",17,"Sample",NA,NA,800.52487029799,684.482682531883,102.605084428234
"2018-11-21",18,"Sample",NA,NA,554.465996234506,520.078997815743,112.55781267332
"2018-11-21",19,"Sample",NA,NA,1654.90521824548,1499.36873185965,108.721784087377
"2018-11-21",20,"Sample",NA,NA,784.830569075173,682.249460928974,104.315426204602
"2018-11-28",1,"CAL",CAL1,20,21.5776498877356,11.5865030380501,64.4361351583647
"2018-11-28",2,"CAL",CAL2,50,51.0289966466651,28.4200312269431,66.8326632178854
"2018-11-28",3,"CAL",CAL3,120,121.541682424495,61.4215815366975,60.6424860786548
"2018-11-28",4,"CAL",CAL4,240,242.969649968196,141.108141064275,69.691736930639
"2018-11-28",5,"CAL",CAL5,500,496.220488664065,262.188184218873,63.4044398105548
"2018-11-28",6,"CAL",CAL6,1000,1035.80837663317,573.448068359021,66.4348442776235
"2018-11-28",7,"CAL",CAL7,2000,1952.15159708109,1059.25338448438,65.1129790986438
"2018-11-28",8,"CAL",CAL8,8000,7738.33062586031,4609.75857367363,71.4845430605179
"2018-11-28",9,"Sample",NA,NA,71.552960510211,37.8334702053826,63.4497355842884
"2018-11-28",10,"Sample",NA,NA,65.6104675542825,34.5776654157324,63.2417357254004
"2018-11-28",11,"Sample",NA,NA,49.6543028589526,26.0914061158221,63.0553356633049
"2018-11-28",12,"Sample",NA,NA,57.6035341945782,29.9478546115021,62.3875358279406
"2018-11-28",13,"Sample",NA,NA,36.970191451511,19.9161126378546,64.6448780141459
"2018-11-28",14,"Sample",NA,NA,68.7270349532461,39.5866486319145,69.1197843623162
"2018-11-28",15,"Sample",NA,NA,122.860552357584,68.4458599290059,66.8522404780943
"2018-11-28",16,"Sample",NA,NA,1340.20828363309,716.684184305523,64.1706988137131
"2018-11-28",17,"Sample",NA,NA,851.531096099305,449.795127784953,63.38631152925
"2018-11-28",18,"Sample",NA,NA,814.294268229475,485.55438085518,71.5546307716385
"2018-11-28",19,"Sample",NA,NA,593.286105471089,318.775098927605,64.4765004920154
"2018-11-28",20,"Sample",NA,NA,1179.44952576548,617.528880277558,62.8288570341429
"2018-12-05",1,"CAL",CAL1,20,20.5940146112684,16.4125877045941,95.6350940662943
"2018-12-05",2,"CAL",CAL2,50,51.042023129662,40.3148567061038,94.780388944283
"2018-12-05",3,"CAL",CAL3,120,135.491648736821,100.625038567989,89.1199180224988
"2018-12-05",4,"CAL",CAL4,240,239.666321588897,196.100747498899,98.1868855993575
"2018-12-05",5,"CAL",CAL5,500,450.383793030961,329.207224167763,87.7137843577241
"2018-12-05",6,"CAL",CAL6,1000,957.289152527434,724.576191190912,90.8285053824608
"2018-12-05",7,"CAL",CAL7,2000,1882.84422521472,1387.76559228889,88.446972322246
"2018-12-05",8,"CAL",CAL8,8000,8341.041384179,6353.57941827867,91.4069952511673
"2018-12-05",9,"Sample",NA,NA,78.1273905164959,58.7915732022466,90.3010933506092
"2018-12-05",10,"Sample",NA,NA,103.423592572841,79.1151946277239,91.7955286521339
"2018-12-05",11,"Sample",NA,NA,117.881132409885,94.6993976222586,96.4015825294035
"2018-12-05",12,"Sample",NA,NA,70.4593455920406,53.9965662254768,91.9620795880508
"2018-12-05",13,"Sample",NA,NA,45.1015814076501,35.4142306760009,94.2252477293242
"2018-12-05",14,"Sample",NA,NA,45.863314317581,34.2435951359655,89.5973498090749
"2018-12-05",15,"Sample",NA,NA,42.6598419433602,32.4074153155003,91.1604370926489
"2018-12-05",16,"Sample",NA,NA,741.972035820048,580.283683051512,93.8499547212988
"2018-12-05",17,"Sample",NA,NA,1136.40325198695,881.780435571348,93.1127679224356
